"_id","url_list__001","url_list__002","url_list__003","url_list__004","url_list__005","url_list__006","url_list__007","url_list__008","url_list__009","url_list__010","url_list__011","url_list__012","name","feature__Birth Nation","feature__City","feature__DucksterPersonImageUrl","feature__DucksterPersonImagePath","feature__DucksterPersonImageName","feature__Status","feature__Birthplace","feature__Notableworks","feature__Spouse/Ex-","feature__Educational Qualification(s)","feature__HT/WT","feature__Class","feature__Homecity","feature__Highschool","feature__Exp","feature__Affiliation at the time of the award","feature__Position/Rank","feature__Burial","feature__FirstName","feature__Fields","feature__Ex-Partners","feature__instance of","feature__Gender","feature__name in native language","feature__Also Known As","feature__Fellow of the Royal Society ID","feature__image","feature__AcademicFiled","feature__Art UK artist ID","feature__Family Data","feature__Subtitle","feature__Contact Information","feature__wiki","feature__2019","feature__family","feature__house","feature__twins names","feature__zachary","feature__son macallister","feature__Spouses","feature__Wife","feature__Title","feature__DOB","feature__Jobtitle","feature__Vice President","feature__Father","feature__Rotten Tomatoes","feature__iTunes","feature__Food Habit","feature__Salary (approx_)","feature__Eyecolor","feature__Politician(s)","feature__Instagram","feature__LastName","feature__Height / How tall","feature__SunSign","feature__Institutions","feature__DoctoralAdvisor","feature__Prize share","feature__DoctoralStudents","feature__Employer","feature__ImdbPersonImagePath","feature__Religion","feature__Maritalstatus","feature__Role","feature__BritannicaPersonImageName","feature__BritannicaPersonImagePath","feature__Celebrated Name","feature__Deathdate","feature__Kobe Bryant","feature__Haircolor","feature__Party","feature__College/University","feature__Personality","feature__Prize motivation","feature__award received","feature__Website","feature__U_S_ State","feature__Biggest Rival","feature__political ideology","feature__Affiliation","feature__Encyclopædia Britannica Online ID","feature__Height","feature__Draft Info","feature__Board member of","feature__MaritalStatus","feature__TwitterID","feature__Who","feature__BirthDate","feature__FreebaseID","feature__Commons category","feature__Famous","feature__Book(s)","feature__Height (approx_)","feature__Awards","feature__Deathplace","feature__Marriage(s)","feature__Presidential Salary","feature__AlmaMater","feature__Thesis","feature__Country","feature__Ethnic","feature__Nationality","feature__Twitterid","feature__Food","feature__Library of Congress authority ID","feature__Boards she sits on","feature__Wikipedia Profile","feature__ImdbPersonImageName","feature__Residence","feature__Age","feature__Genres","feature__Birthdate","feature__Years Active","feature__Film(s)","feature__Almamater","feature__Mother","feature__Age (as in 2019)","feature__44th President of the United States","feature__Educationalqualification","feature__Profession(s)","feature__Airplane/Helicopter Collection","feature__Age at Inauguration","feature__Birthname","feature__Height (Approx_)","feature__Years active","feature__Firstname","feature__Weight (Approx_)","feature__Lastname","feature__Labels","feature__Sunsign","feature__Death-O-Meter","feature__Homestate","feature__described by source","feature__Lucky Color","feature__Past position","feature__HairColor","feature__Nickname","feature__Salary","feature__Successor","feature__BIographyPersonImageName","feature__Wife/Spouse","feature__Institution","feature__Instagram Profile","feature__BirthCountry","feature__Qualification","feature__NetWorth","feature__BritannicaPersonImageUrl","feature__languages spoken, written or signed","feature__Best Match for Marriage","feature__BirthPlace","feature__Family","feature__Precededby","feature__PersonName","feature__Nobel prize ID","feature__Encyclopædia Universalis ID","feature__Commons Creator page","feature__DeathDate","feature__Resting place","feature__Benezit ID","feature__DeathPlace","feature__WikiTree person ID","feature__Artnet artist ID","feature__Lucky Stone","feature__Weight","feature__Name at birth","feature__Authored Lean In","feature__BirthName","feature__EyeColor","feature__Born","feature__BIographyPersonImagePath","feature__BiographyPersonImageUrl","feature__Height [2] The Guardian","feature__Quote","feature__45th President","feature__IMDb","feature__Instruments","feature__Age at first & last AFL game","feature__College","feature__Net Worth (approx_)","feature__Hobbies","feature__Youtube","feature__Facebookid","feature__Fullname","feature__Marriagedate","feature__Bike Collection","feature__Heightandweight","feature__State of origin","feature__Debut","feature__exact match","feature__NKCR AUT ID","feature__NNDB people ID","feature__Children","feature__Age at Death","feature__Years Served as President","feature__GND ID","feature__Relatives","feature__Parents","feature__relatedfactsanddata","feature__Death","feature__Memorial ID","feature__ImdbPersonImageUrl","feature__Networth","feature__Causeofdeath","feature__FounderOf","feature__FullName","feature__Education","feature__Source of Wealth","feature__Occupation"
"ObjectId(""5d909e8b3bfe3223c0a84188"")","https://en.wikipedia.org/wiki/Stanley_B._Prusiner","http://nobelprizes.com/nobel/medicine/1997a.html","https://commons.wikimedia.org/wiki/Category:Stanley_Prusiner","https://www.wikidata.org/wiki/Q155380","https://www.thefamouspeople.com/profiles/stanley-b-prusiner-7634.php","https://www.britannica.com/biography/Stanley-B-Prusiner","","","","","","","Stanley B. Prusiner","","","","","","","","","","","","","","","","","","","Stanley","Neurology Infectious diseases","","human","male","|(English)|Stanley Bb. Prusiner","Stanley Benjamin Prusiner","stanley-prusiner-12124","Prusiner 1.JPG|1,280 × 960 550 KB","prion spongiform encephalopathy","","","","","","","","","","","","Sandy Turk Prusiner","","Stanley B. Prusiner","","","","","","","","","","","","","","Gemini","American Academy of Arts and Sciences|National Academy of Sciences|Serbian Academy of Sciences and Arts|Royal Society|American Philosophical Society","","","","University of California, Berkeley|University of California, San Francisco","","","","","Stanley_B._Prusiner,_2004.","D:\work\2019\2019.9\personSearch_refactor-master\Structure_Info_extract\Image\britannica\Stanley_B._Prusiner,_2004..jpg","","","","","","","","","Wolf Prize in Medicine|Bristol-Myers Squibb Award for Distinguished Achievement in Neuroscience Research|Richard Lounsbery Award|Keio Medical Science Prize|Louisa Gross Horwitz Prize|Humboldt Prize|Gairdner Foundation International Award|Foreign Member of the Royal Society|Dickson Prize in Medicine|Alexander von Humboldt Fellow|Robert J. and Claire Pasarow Foundation Award for Distinguished Contributions to Neuropsychiatric Research|Paul Ehrlich and Ludwig Darmstaedter Prize|Metlife Foundation Award for Medical Research in Alzheimer's Disease|Nobel Prize in Physiology or Medicine|Albert Lasker Award for Basic Medical Research|Max Planck Research Award|National Medal of Science|Benjamin Franklin Medal|Grand Prix Charles-Leopold Mayer|Sir Hans Krebs Medal|Potamkin Prize","http://ind.ucsf.edu/ind/aboutus/faculty/prusiners ind .ucsf .edu /ind /aboutus /faculty /prusiners","Iowa","","","Department of Neurology, University of California, School of Medicine, San Francisco, CA 94143, USA","biography/Stanley-B-Prusiner","","","","","","","May 28, 1942","/m/0154s9","Stanley Prusiner","Neurologist and Biochemist","","","Louisa Gross Horwitz Prize (1997) Nobel Prize (1997) Albert Lasker Basic Medical Research Award (1994)","","","","University of Pennsylvania (BS  MD)","","","","American","","","n79103845","","","","San Francisco, U.S.A.","77 Years 77 Year Old Males","","","","","","","","","","","","","","","","","","","","","","","Obalky knih.cz","","","","","","","","","","","","","","https://cdn.britannica.com/s:300x300/14/126914-050-0031A265/Stanley-B-Prusiner-2004.jpg","English","","Des Moines, Iowa","Spouse/Ex-: Sandy Turk father: Lawrence Prusiner mother: Miriam","","","medicine/laureates/1997/prusiner","stanley-b-prusiner","","","","","","","","","","","","","","May 28, 1942 (age 77)Des Moines, Iowa","","","","","","","","","Perelman School of Medicine at the University of Pennsylvania|University of California, San Francisco","","","","","","","","","","","http://data.nobelprize.org/resource/laureate/457","mub2013787423","136/000134731","two","","","14029905X","","","","","","","","","","","","","university teacher|physician|neurologist|biochemist|virologist"
"ObjectId(""5d90afaa3bfe32372cd68acb"")","https://en.wikipedia.org/wiki/Randy_Schekman","https://www.nobelprize.org/prizes/medicine/2013/schekman/facts/","https://www.britannica.com/biography/Randy-Schekman","","","","","","","","","","Randy Schekman","","","","","","","","","","","","","","","","University of California, Berkeley, CA, USA,Howard Hughes Medical Institute","","","","","","","","","","","","cell vesicle","","","","","","","","","","","","","","Randy W. Schekman","","","","","","","","","","","","","","","University of California  Berkeley UCLA Howard Hughes Medical Institute Stanford University","Arthur Kornberg","1/3","David Julius  David Baker","","","","","","Schekman,_Randy_W.","D:\work\2019\2019.9\personSearch_refactor-master\Structure_Info_extract\Image\britannica\Schekman,_Randy_W..jpg","","","","","","","","""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells.""","","","","","","","","","","","","","","December 30, 1948","","","Editor-in-chief of PNAS  and eLife","","","Nobel Prize (2013) Albert Lasker Basic Medical Research Award (2002)","","","","UCLA Stanford University","Resolution and Reconstruction of a multienzyme DNA replication reaction (1975)","","","American","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.britannica.com/s:300x300/40/172140-050-1DB49121/Randy-W-Schekman.jpg","","","Saint Paul, Minnesota","","","","","","","","","","","","","","","","","","","December 30, 1948 (age 70)Saint Paul, Minnesota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ObjectId(""5eeb4c353bfe32377c205d14"")","https://www.mlb.com/player/jack-jones-116677","","","","","","","","","","","","Jack Jones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jumping Jack","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10/23/1860in Litchfield, CT","","","","","","","","","Yale","","","","","Daniel Albion Jones","","","","","7/09/1883","","","","","","","","","","","10/19/1936","","","","","","","","",""
"ObjectId(""5eeb4c353bfe32377c205d15"")","https://247sports.com/Player/Jack-Jones-73103/","","","","","","","","","","","","Jack Jones","","","","","","","","","","","","","Long Beach, CA","Long Beach Poly","2019 - ...","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ObjectId(""5eeb4c353bfe32377c205d16"")","https://www.espn.com/college-football/player/_/id/4035686/jack-jones","","","","","","","","","","","","Jack Jones","","","","","","Active","Long Beach, CA","","","","5' 11"", 170 lbs","Junior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ObjectId(""5eeb4c353bfe32377c205d17"")","https://australianfootball.com/players/player/jack%2Bjones/7391","","","","","","","","","","","","Jack Jones","","","","","","","Ascot Vale, VIC (3032)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jack Jones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7 November 1924","","","","","","","","First game: 21y 164dLast game: 29y 294d","","","","","","Jack Jones","","","Height: 185 cmWeight: 85 kg","VIC","","","","","","","","","","","","24 March 2020 (aged 95)","","","","","","","","",""
"ObjectId(""5eeb4c353bfe32377c205d18"")","https://trendcelebsnow.com/jack-jones-net-worth/","https://allfamous.org/people/jack-jones-19380114.html","","","","","","","","","","","Jack Jones","","","","","","","Los Angeles , California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CA","","","","","","","","","","82 years old","Traditional pop, jazz, big band","January 14 , 1938","","","","","","","","","","","John Allan Jones","in centimeters - N/A in meters - N/A in feet-inches - N/A","1959–present","Jack","in centimeters - N/A in meters - N/A in feet-inches - N/A","Jones","Capitol, Kapp, RCA Victor, MGM","Capricorn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","January 14, 1938, Hollywood, California, U.S.","","","","","","Jack Jones (singer)'s IMDb","Vocals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Singer, actor"
"ObjectId(""5eed82ba3bfe323d68fb90cd"")","https://www.ducksters.com/biography/uspresidents/donaldtrump.php","","","","","","","","","","","","Donald Trump","","","https://www.ducksters.com/biography/uspresidents/donaldtrump.jpg","D:\work\2020\personSearch\personSearch_refactor-master\Structure_Info_extract\Image\duckster\donaldtrump.jpg.jpg","donaldtrump.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ObjectId(""5eed82ba3bfe323d68fb90ce"")","https://www.who2.com/bio/donald-trump/","https://www.britannica.com/biography/Donald-Trump","https://starsunfolded.com/donald-trump/","https://www.thefamouspeople.com/profiles/donald-trump-3378.php","https://www.coolkidfacts.com/donald-trump-facts/","","","","","","","","Donald Trump","","New York City","","","","","New York City, New York","“The America We Deserve” “Crippled America: How to Make America Great Again”","Melania Trump|Ivana Trump|Marla Maples","• Graduation from the Fordham University • Bachelor of Science (B.S.) in Economics from Wharton","","","Queens, New York City","","","","","","","","","","","","Donald John Trump","","","","","","","","","","","","","","","Ivana Zelnickova, Marla Maples, Melania Knauss ","Melania Trump","presidency of the United States of America, United States (2017-)","","","Mike Pence ","Fred Trump","","","Non-Vegetarian The Culture Trip","400,000 USD annually (as the President of the United States) Wikipedia","Blue","","","","","","","","","","","","Presbyterian Wikipedia","Married","United States presidential election of 2016","Donald_Trump","D:\work\2020\personSearch\personSearch_refactor-master\Structure_Info_extract\Image\britannica\Donald_Trump.jpg","","","","Blonde","Republican","• Fordham University, New York (1964) • Wharton School of the University of Pennsylvania (1966)","ESTP|ENTJ","","","","New Yorkers","Hillary Clinton","Republican","","","6'3""|cm|6'3"" Males","","","","","","","","","45th U.S. President","","in centimeters - 191 cm in meters - 1.91 m in feet & inches - 6’ 3”","","","","","","","","","American","","","","","","","Mar-a-Lago, Palm Beach, Florida The New York Times","74 Years|74 Year Old Males","","June 14, 1946","","","","","73 Years","","","Businessman, Politician","• Boeing 757 • Cessna Citation X (Private Jet) • Sikorsky S-76 Helicopter","70","","","","","","","","Gemini","","New York","","","","","The Donald","","","","• First Wife: Ivana Trump (m. 1977 d. 1992) • Second Wife: Marla Maples (m. 1993 d. 1999) • Third Wife: Melania Trump (m. 2005)","","","","","","https://cdn.britannica.com/s:300x300/31/149831-050-83A0E45B/Donald-J-Trump-2010.jpg","","","","spouse Melania Trump father Frederick Trump","","","","","","","","","","","","","","","","","","June 14, 1946 (age 74)New York City, New York","","","","","of the United States","","","","• Kew-Forest School, New York • New York Military Academy, Cornwall, New York (1959)","3.1 billion dollars (as of March 5, 2019) Wikipedia","Playing Golf","","","Donald John Trump","• First Marriage: 1977 (Ivana Trump) • Second Marriage: 1993 (Marla Maples) • Third Marriage: 2005 ( Melania Trump )","Custom-made 24-Karat Gold Orange County Chopper","","","","","","","Donald Jr., Ivanka, Eric, Tiffany, Barron","","2017-present","","","Father - Frederick Christ Trump (Businessman & Philanthropist) Mother - Mary Anne MacLeod Trump (Philanthropist)","Michael Flynn - Facts","","","","","","","","","",""
"ObjectId(""5ef199973bfe3253747b2c7e"")","https://www.ducksters.com/biography/uspresidents/barackobama.php","","","","","","","","","","","","Barack Obama","","","https://www.ducksters.com/biography/uspresidents/barackobamaportrait.jpg","D:\work\2020\personSearch\personSearch_refactor-master\Structure_Info_extract\Image\duckster\barackobamaportrait.jpg.jpg","barackobamaportrait.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ObjectId(""5ef199973bfe3253747b2c7f"")","https://www.potus.com/barack-obama/","https://www.britannica.com/biography/Barack-Obama","https://kids.kiddle.co/Barack_Obama","https://www.who2.com/bio/barack-obama/","https://allfamous.org/people/barack-obama-19610804.html","https://www.biography.com/us-president/barack-obama","https://starsunfolded.com/barack-obama/","","","","","","Barack Obama","","","","","","","Honolulu, Hawaii, U.S.","“Dreams from My Father: A Story of Race and Inheritance” “The Audacity of Hope: Thoughts on Reclaiming the American Dream”","","","","","Honolulu, Hawaii, U.S.","","","","","","","","","","","","","","","","","","","","","","","","","","","Michelle Robinson (October 3, 1992–present)","Michelle Obama (married 1992)","presidency of the United States of America, United States (2009-2017) United States Senate, United States (2005-2008)","","","Joe Biden","Barack Obama Sr.","Barack Obama's Rotten Tomatoes","Barack Obama's iTunes","","","Dark Brown","Martin Luther King Jr., Mahatma Gandhi","https://allfamous.org/go?u=https%3A%2F%2Fwww.instagram.com%2Fbarackobama","","","","","","","","","","Protestant Christian TIME","Married","Afghanistan War Syrian Civil War Iraq War Patient Protection and Affordable Care Act Strategic Arms Reduction Talks Paris Agreement USA PATRIOT Act","Obama,_Barack","D:\work\2020\personSearch\personSearch_refactor-master\Structure_Info_extract\Image\britannica\Obama,_Barack.jpg","","","","Gray","Democratic","• University of Hawaii • Occidental College • Columbia College, Columbia University, New York City • Harvard Law School, Cambridge, Massachusetts","","","","http://www.barackobama.com/","","Donald Trump","","","","","","","","","","","","","After serving as an Illinois senator, Barack Obama was elected the first African American president of the United States.","• Song of Solomon by Toni Morrison • Self Reliance by Ralph Waldo","","Nobel Peace Prize (2009), Profile in Courage Award (2017)","","","$400,000/year + $50,000 expense account","","","","","American","https://allfamous.org/go?u=https%3A%2F%2Ftwitter.com%2FBarackObama","Broccoli, Burger, Hot Dogs","","","","","5046 S Greenwood Avenue. Chicago, IL 60615.","58","","August 4, 1961","","Casablanca, Lawrence of Arabia, Boyhood","Columbia University (BA), Harvard University (JD)","Ann Dunham","58 Years","(January 20, 2009 to January 20, 2017)","He graduated with a BA degree in 1983 (majored in Political Science with a specialty in International Relations and in English literature). Wikipedia","","","","","","","","","","","Leo","","","","","","","Barry Newsweek , No Drama Obama, Bam","","Donald Trump","Barack_Obama","","","","","","","https://cdn.britannica.com/s:300x300/89/164789-050-D6B5E2C7/Barack-Obama-2012.jpg","","","","spouse Michelle Obama","George W. Bush","Barack Obama","","","","","","","","","","","","","","","","Barack Hussein Obama II, August 4, 1961, Honolulu, Hawaii, U.S.","D:\work\2020\personSearch\personSearch_refactor-master\Structure_Info_extract\Image\biography\Barack_Obama.jpg","https://www.biography.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cg_face%2Cq_auto:good%2Cw_300/MTE4MDAzNDEwNzg5ODI4MTEw/barack-obama-12782369-1-402.jpg","in centimeters- 185 cm in meters- 1.85 m in Feet Inches- 6’ 1”","""Yes We Can""","","Barack Obama's IMDb","","","","$40 million (as in 2018) Business Insider","Playing Basketball, watching television, playing scrabble and poker","Barack Obama's Youtube channel","https://allfamous.org/go?u=https%3A%2F%2Fwww.facebook.com%2Fbarackobama","Barack Hussein Obama","","","","","","","","","Daughter(s) - 2 • Malia Ann Obama (born July 4, 1998) • Natasha Obama (born June 10, 2001) Son - None","","","","See Obama family","","Joe Biden - Facts Hillary Clinton - Facts","","","","","","","","Occidental College, Columbia University, Harvard Law School, Punahou Academy","","Politician"
"ObjectId(""5ef8acfc3bfe32473441e6da"")","https://www.kidzworld.com/article/3690-kobe-bryant-biography/","https://www.famousbirthsdeaths.com/kobe-bryant-bio-net-worth-facts/","https://www.who2.com/bio/kobe-bryant/","https://short-biography.com/kobe-bryant.htm","https://www.imdb.com/name/nm1101483/bio","https://www.espn.com/nba/player/_/id/110/kobe-bryant","https://gossipgist.com/kobe-bryant","https://www.britannica.com/biography/Kobe-Bryant","","","","","Kobe Bryant","USA","","","","","Deceased","Philadelphia, Pennsylvania","","","","","","","Lower Merion High School","","","","","","","","","Male","","","","","","","","","","","","","","","","","Vanessa Laine Bryant (18 April 2001 - 26 January 2020) ( his death) ( 4 children)","Vanessa Laine","Kobe Bryant","8/23/1978","Shooting guard","","Joe","","","","","","","","","","","","","","","","D:\work\2020\personSearch\personSearch_refactor-master\Structure_Info_extract\Image\imdb\Kobe_Bryant_Poster.jpg","Christian","Married","","Bryant,_Kobe","D:\work\2020\personSearch\personSearch_refactor-master\Structure_Info_extract\Image\britannica\Bryant,_Kobe.jpg","Kobe Bryant","January 26, 2020","41 years old","","","","","","","","","","","","","193 cm","1996: Rd 1, Pk 13 (CHA)","","","","","","","","The retired LA Lakers superstar who died in a helicopter crash","","","Most Valuable Player (2008) Olympic Games","Calabasas, California","Vanessa Laine","","","","","Black","American","","","","","","Kobe_Bryant_Poster","","41","","August 23, 1978","1996-2016","","","Pamela","","","","","","","Kobe Bryant","","","","","","","Virgo","Dead","","","","","","Kobe Bryant","$30.5 Million","","","","","","","","","https://cdn.britannica.com/s:300x300/99/190999-050-DE265806/Kobe-Bryant-Elias-Ayuso-Puerto-Rico-team-2007.jpg","","","","","","","","","","","","","","","","","96 Kg","","","","","August 23, 1978Philadelphia, Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","4","41 Years Old","","","","","Russell Westbrook - Facts","January 26, 2020 (aged 41)Calabasas, California","","https://m.media-amazon.com/images/M/MV5BMTEyMDUxMDg5NDReQTJeQWpwZ15BbWU3MDg0MTQ0Mjg@._V1_UY98_CR1,0,67,98_AL_.jpg","$500 Million","Helicoptor Crash","","","","","Basketball Player"
